SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,East Renfrewshire,Female,45 to 49,Upper school qualifications,260
Individuals,East Renfrewshire,Female,45 to 49,Apprenticeship qualifications,29
Individuals,East Renfrewshire,Female,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,474
Individuals,East Renfrewshire,Female,45 to 49,Degree level qualifications or above,2092
Individuals,East Renfrewshire,Female,50 to 54,All people aged 16 and over,3600
Individuals,East Renfrewshire,Female,50 to 54,No qualifications,232
Individuals,East Renfrewshire,Female,50 to 54,Lower school qualifications,535
Individuals,East Renfrewshire,Female,50 to 54,Upper school qualifications,458
Individuals,East Renfrewshire,Female,50 to 54,Apprenticeship qualifications,49
Individuals,East Renfrewshire,Female,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,536
Individuals,East Renfrewshire,Female,50 to 54,Degree level qualifications or above,1796
Individuals,East Renfrewshire,Female,55 to 59,All people aged 16 and over,3717
Individuals,East Renfrewshire,Female,55 to 59,No qualifications,341
Individuals,East Renfrewshire,Female,55 to 59,Lower school qualifications,683
Individuals,East Renfrewshire,Female,55 to 59,Upper school qualifications,469
Individuals,East Renfrewshire,Female,55 to 59,Apprenticeship qualifications,66
Individuals,East Renfrewshire,Female,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,497
Individuals,East Renfrewshire,Female,55 to 59,Degree level qualifications or above,1661
Individuals,East Renfrewshire,Female,60 to 64,All people aged 16 and over,3413
Individuals,East Renfrewshire,Female,60 to 64,No qualifications,445
Individuals,East Renfrewshire,Female,60 to 64,Lower school qualifications,681
Individuals,East Renfrewshire,Female,60 to 64,Upper school qualifications,484
Individuals,East Renfrewshire,Female,60 to 64,Apprenticeship qualifications,62
Individuals,East Renfrewshire,Female,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,381
Individuals,East Renfrewshire,Female,60 to 64,Degree level qualifications or above,1363
Individuals,East Renfrewshire,Female,65 to 69,All people aged 16 and over,3125
Individuals,East Renfrewshire,Female,65 to 69,No qualifications,631
Individuals,East Renfrewshire,Female,65 to 69,Lower school qualifications,510
Individuals,East Renfrewshire,Female,65 to 69,Upper school qualifications,375
Individuals,East Renfrewshire,Female,65 to 69,Apprenticeship qualifications,66
Individuals,East Renfrewshire,Female,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,274
Individuals,East Renfrewshire,Female,65 to 69,Degree level qualifications or above,1269
Individuals,East Renfrewshire,Female,70 to 74,All people aged 16 and over,2776
Individuals,East Renfrewshire,Female,70 to 74,No qualifications,754
Individuals,East Renfrewshire,Female,70 to 74,Lower school qualifications,513
Individuals,East Renfrewshire,Female,70 to 74,Upper school qualifications,293
Individuals,East Renfrewshire,Female,70 to 74,Apprenticeship qualifications,47
Individuals,East Renfrewshire,Female,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,195
Individuals,East Renfrewshire,Female,70 to 74,Degree level qualifications or above,977
Individuals,East Renfrewshire,Female,75 to 79,All people aged 16 and over,2321
Individuals,East Renfrewshire,Female,75 to 79,No qualifications,841
Individuals,East Renfrewshire,Female,75 to 79,Lower school qualifications,429
Individuals,East Renfrewshire,Female,75 to 79,Upper school qualifications,174
Individuals,East Renfrewshire,Female,75 to 79,Apprenticeship qualifications,59
Individuals,East Renfrewshire,Female,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,132
Individuals,East Renfrewshire,Female,75 to 79,Degree level qualifications or above,686
Individuals,East Renfrewshire,Female,80 to 84,All people aged 16 and over,1587
Individuals,East Renfrewshire,Female,80 to 84,No qualifications,644
Individuals,East Renfrewshire,Female,80 to 84,Lower school qualifications,288
Individuals,East Renfrewshire,Female,80 to 84,Upper school qualifications,104
Individuals,East Renfrewshire,Female,80 to 84,Apprenticeship qualifications,43
Individuals,East Renfrewshire,Female,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,88
Individuals,East Renfrewshire,Female,80 to 84,Degree level qualifications or above,419
Individuals,East Renfrewshire,Female,85 and over,All people aged 16 and over,1958
Individuals,East Renfrewshire,Female,85 and over,No qualifications,932
Individuals,East Renfrewshire,Female,85 and over,Lower school qualifications,407
Individuals,East Renfrewshire,Female,85 and over,Upper school qualifications,120
Individuals,East Renfrewshire,Female,85 and over,Apprenticeship qualifications,27
Individuals,East Renfrewshire,Female,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,72
Individuals,East Renfrewshire,Female,85 and over,Degree level qualifications or above,400
Individuals,East Renfrewshire,Male,Total,All people aged 16 and over,36423
Individuals,East Renfrewshire,Male,Total,No qualifications,3567
Individuals,East Renfrewshire,Male,Total,Lower school qualifications,4461
Individuals,East Renfrewshire,Male,Total,Upper school qualifications,4466
Individuals,East Renfrewshire,Male,Total,Apprenticeship qualifications,3836
Individuals,East Renfrewshire,Male,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,4441
Individuals,East Renfrewshire,Male,Total,Degree level qualifications or above,15655
Individuals,East Renfrewshire,Male,16 to 19,All people aged 16 and over,2272
Individuals,East Renfrewshire,Male,16 to 19,No qualifications,128
Individuals,East Renfrewshire,Male,16 to 19,Lower school qualifications,740
Individuals,East Renfrewshire,Male,16 to 19,Upper school qualifications,1128
Individuals,East Renfrewshire,Male,16 to 19,Apprenticeship qualifications,51
Individuals,East Renfrewshire,Male,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,142
Individuals,East Renfrewshire,Male,16 to 19,Degree level qualifications or above,82
Individuals,East Renfrewshire,Male,20 to 24,All people aged 16 and over,2346
Individuals,East Renfrewshire,Male,20 to 24,No qualifications,55
Individuals,East Renfrewshire,Male,20 to 24,Lower school qualifications,272
Individuals,East Renfrewshire,Male,20 to 24,Upper school qualifications,714
Individuals,East Renfrewshire,Male,20 to 24,Apprenticeship qualifications,137
Individuals,East Renfrewshire,Male,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,464
Individuals,East Renfrewshire,Male,20 to 24,Degree level qualifications or above,700
Individuals,East Renfrewshire,Male,25 to 29,All people aged 16 and over,1877
Individuals,East Renfrewshire,Male,25 to 29,No qualifications,87
Individuals,East Renfrewshire,Male,25 to 29,Lower school qualifications,207
Individuals,East Renfrewshire,Male,25 to 29,Upper school qualifications,190
Individuals,East Renfrewshire,Male,25 to 29,Apprenticeship qualifications,137
Individuals,East Renfrewshire,Male,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,378
Individuals,East Renfrewshire,Male,25 to 29,Degree level qualifications or above,881
Individuals,East Renfrewshire,Male,30 to 34,All people aged 16 and over,2143
Individuals,East Renfrewshire,Male,30 to 34,No qualifications,96
Individuals,East Renfrewshire,Male,30 to 34,Lower school qualifications,300
Individuals,East Renfrewshire,Male,30 to 34,Upper school qualifications,196
Individuals,East Renfrewshire,Male,30 to 34,Apprenticeship qualifications,162
Individuals,East Renfrewshire,Male,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,318
Individuals,East Renfrewshire,Male,30 to 34,Degree level qualifications or above,1071
Individuals,East Renfrewshire,Male,35 to 39,All people aged 16 and over,2713
Individuals,East Renfrewshire,Male,35 to 39,No qualifications,89
Individuals,East Renfrewshire,Male,35 to 39,Lower school qualifications,324
Individuals,East Renfrewshire,Male,35 to 39,Upper school qualifications,199
Individuals,East Renfrewshire,Male,35 to 39,Apprenticeship qualifications,168
Individuals,East Renfrewshire,Male,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,364
Individuals,East Renfrewshire,Male,35 to 39,Degree level qualifications or above,1576
Individuals,East Renfrewshire,Male,40 to 44,All people aged 16 and over,3166
Individuals,East Renfrewshire,Male,40 to 44,No qualifications,155
Individuals,East Renfrewshire,Male,40 to 44,Lower school qualifications,304
Individuals,East Renfrewshire,Male,40 to 44,Upper school qualifications,232
Individuals,East Renfrewshire,Male,40 to 44,Apprenticeship qualifications,176
Individuals,East Renfrewshire,Male,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,405
Individuals,East Renfrewshire,Male,40 to 44,Degree level qualifications or above,1894
Individuals,East Renfrewshire,Male,45 to 49,All people aged 16 and over,3008
Individuals,East Renfrewshire,Male,45 to 49,No qualifications,124
Individuals,East Renfrewshire,Male,45 to 49,Lower school qualifications,344
Individuals,East Renfrewshire,Male,45 to 49,Upper school qualifications,222
Individuals,East Renfrewshire,Male,45 to 49,Apprenticeship qualifications,201
Individuals,East Renfrewshire,Male,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,374
Individuals,East Renfrewshire,Male,45 to 49,Degree level qualifications or above,1742
Individuals,East Renfrewshire,Male,50 to 54,All people aged 16 and over,3281
Individuals,East Renfrewshire,Male,50 to 54,No qualifications,274
Individuals,East Renfrewshire,Male,50 to 54,Lower school qualifications,414
Individuals,East Renfrewshire,Male,50 to 54,Upper school qualifications,300
Individuals,East Renfrewshire,Male,50 to 54,Apprenticeship qualifications,268
Individuals,East Renfrewshire,Male,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,394
Individuals,East Renfrewshire,Male,50 to 54,Degree level qualifications or above,1635
Individuals,East Renfrewshire,Male,55 to 59,All people aged 16 and over,3332
Individuals,East Renfrewshire,Male,55 to 59,No qualifications,388
Individuals,East Renfrewshire,Male,55 to 59,Lower school qualifications,447
Individuals,East Renfrewshire,Male,55 to 59,Upper school qualifications,280
Individuals,East Renfrewshire,Male,55 to 59,Apprenticeship qualifications,364
Individuals,East Renfrewshire,Male,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,412
Individuals,East Renfrewshire,Male,55 to 59,Degree level qualifications or above,1441
Individuals,East Renfrewshire,Male,60 to 64,All people aged 16 and over,3124
Individuals,East Renfrewshire,Male,60 to 64,No qualifications,397
Individuals,East Renfrewshire,Male,60 to 64,Lower school qualifications,331
Individuals,East Renfrewshire,Male,60 to 64,Upper school qualifications,290
Individuals,East Renfrewshire,Male,60 to 64,Apprenticeship qualifications,475
Individuals,East Renfrewshire,Male,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,370
Individuals,East Renfrewshire,Male,60 to 64,Degree level qualifications or above,1258
Individuals,East Renfrewshire,Male,65 to 69,All people aged 16 and over,2709
Individuals,East Renfrewshire,Male,65 to 69,No qualifications,432
Individuals,East Renfrewshire,Male,65 to 69,Lower school qualifications,207
Individuals,East Renfrewshire,Male,65 to 69,Upper school qualifications,275
Individuals,East Renfrewshire,Male,65 to 69,Apprenticeship qualifications,417
Individuals,East Renfrewshire,Male,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,278
Individuals,East Renfrewshire,Male,65 to 69,Degree level qualifications or above,1101
Individuals,East Renfrewshire,Male,70 to 74,All people aged 16 and over,2315
Individuals,East Renfrewshire,Male,70 to 74,No qualifications,379
Individuals,East Renfrewshire,Male,70 to 74,Lower school qualifications,191
Individuals,East Renfrewshire,Male,70 to 74,Upper school qualifications,182
Individuals,East Renfrewshire,Male,70 to 74,Apprenticeship qualifications,457
Individuals,East Renfrewshire,Male,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,219
Individuals,East Renfrewshire,Male,70 to 74,Degree level qualifications or above,880
Individuals,East Renfrewshire,Male,75 to 79,All people aged 16 and over,1833
Individuals,East Renfrewshire,Male,75 to 79,No qualifications,407
Individuals,East Renfrewshire,Male,75 to 79,Lower school qualifications,177
Individuals,East Renfrewshire,Male,75 to 79,Upper school qualifications,135
Individuals,East Renfrewshire,Male,75 to 79,Apprenticeship qualifications,328
Individuals,East Renfrewshire,Male,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,151
Individuals,East Renfrewshire,Male,75 to 79,Degree level qualifications or above,632
Individuals,East Renfrewshire,Male,80 to 84,All people aged 16 and over,1191
Individuals,East Renfrewshire,Male,80 to 84,No qualifications,261
Individuals,East Renfrewshire,Male,80 to 84,Lower school qualifications,101
