SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,"Moray West, Nairn and Strathspey",Male,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,5451
Individuals,"Moray West, Nairn and Strathspey",Male,Total,Degree level qualifications or above,10580
Individuals,"Moray West, Nairn and Strathspey",Male,16 to 19,All people aged 16 and over,2101
Individuals,"Moray West, Nairn and Strathspey",Male,16 to 19,No qualifications,221
Individuals,"Moray West, Nairn and Strathspey",Male,16 to 19,Lower school qualifications,1009
Individuals,"Moray West, Nairn and Strathspey",Male,16 to 19,Upper school qualifications,537
Individuals,"Moray West, Nairn and Strathspey",Male,16 to 19,Apprenticeship qualifications,166
Individuals,"Moray West, Nairn and Strathspey",Male,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,101
Individuals,"Moray West, Nairn and Strathspey",Male,16 to 19,Degree level qualifications or above,57
Individuals,"Moray West, Nairn and Strathspey",Male,20 to 24,All people aged 16 and over,2616
Individuals,"Moray West, Nairn and Strathspey",Male,20 to 24,No qualifications,131
Individuals,"Moray West, Nairn and Strathspey",Male,20 to 24,Lower school qualifications,706
Individuals,"Moray West, Nairn and Strathspey",Male,20 to 24,Upper school qualifications,472
Individuals,"Moray West, Nairn and Strathspey",Male,20 to 24,Apprenticeship qualifications,454
Individuals,"Moray West, Nairn and Strathspey",Male,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,491
Individuals,"Moray West, Nairn and Strathspey",Male,20 to 24,Degree level qualifications or above,357
Individuals,"Moray West, Nairn and Strathspey",Male,25 to 29,All people aged 16 and over,2615
Individuals,"Moray West, Nairn and Strathspey",Male,25 to 29,No qualifications,135
Individuals,"Moray West, Nairn and Strathspey",Male,25 to 29,Lower school qualifications,565
Individuals,"Moray West, Nairn and Strathspey",Male,25 to 29,Upper school qualifications,370
Individuals,"Moray West, Nairn and Strathspey",Male,25 to 29,Apprenticeship qualifications,451
Individuals,"Moray West, Nairn and Strathspey",Male,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,498
Individuals,"Moray West, Nairn and Strathspey",Male,25 to 29,Degree level qualifications or above,596
Individuals,"Moray West, Nairn and Strathspey",Male,30 to 34,All people aged 16 and over,2839
Individuals,"Moray West, Nairn and Strathspey",Male,30 to 34,No qualifications,117
Individuals,"Moray West, Nairn and Strathspey",Male,30 to 34,Lower school qualifications,657
Individuals,"Moray West, Nairn and Strathspey",Male,30 to 34,Upper school qualifications,321
Individuals,"Moray West, Nairn and Strathspey",Male,30 to 34,Apprenticeship qualifications,456
Individuals,"Moray West, Nairn and Strathspey",Male,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,555
Individuals,"Moray West, Nairn and Strathspey",Male,30 to 34,Degree level qualifications or above,733
Individuals,"Moray West, Nairn and Strathspey",Male,35 to 39,All people aged 16 and over,2771
Individuals,"Moray West, Nairn and Strathspey",Male,35 to 39,No qualifications,164
Individuals,"Moray West, Nairn and Strathspey",Male,35 to 39,Lower school qualifications,564
Individuals,"Moray West, Nairn and Strathspey",Male,35 to 39,Upper school qualifications,317
Individuals,"Moray West, Nairn and Strathspey",Male,35 to 39,Apprenticeship qualifications,396
Individuals,"Moray West, Nairn and Strathspey",Male,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,528
Individuals,"Moray West, Nairn and Strathspey",Male,35 to 39,Degree level qualifications or above,801
Individuals,"Moray West, Nairn and Strathspey",Male,40 to 44,All people aged 16 and over,2814
Individuals,"Moray West, Nairn and Strathspey",Male,40 to 44,No qualifications,171
Individuals,"Moray West, Nairn and Strathspey",Male,40 to 44,Lower school qualifications,599
Individuals,"Moray West, Nairn and Strathspey",Male,40 to 44,Upper school qualifications,257
Individuals,"Moray West, Nairn and Strathspey",Male,40 to 44,Apprenticeship qualifications,368
Individuals,"Moray West, Nairn and Strathspey",Male,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,503
Individuals,"Moray West, Nairn and Strathspey",Male,40 to 44,Degree level qualifications or above,912
Individuals,"Moray West, Nairn and Strathspey",Male,45 to 49,All people aged 16 and over,2886
Individuals,"Moray West, Nairn and Strathspey",Male,45 to 49,No qualifications,229
Individuals,"Moray West, Nairn and Strathspey",Male,45 to 49,Lower school qualifications,554
Individuals,"Moray West, Nairn and Strathspey",Male,45 to 49,Upper school qualifications,261
Individuals,"Moray West, Nairn and Strathspey",Male,45 to 49,Apprenticeship qualifications,447
Individuals,"Moray West, Nairn and Strathspey",Male,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,477
Individuals,"Moray West, Nairn and Strathspey",Male,45 to 49,Degree level qualifications or above,915
Individuals,"Moray West, Nairn and Strathspey",Male,50 to 54,All people aged 16 and over,3648
Individuals,"Moray West, Nairn and Strathspey",Male,50 to 54,No qualifications,368
Individuals,"Moray West, Nairn and Strathspey",Male,50 to 54,Lower school qualifications,836
Individuals,"Moray West, Nairn and Strathspey",Male,50 to 54,Upper school qualifications,338
Individuals,"Moray West, Nairn and Strathspey",Male,50 to 54,Apprenticeship qualifications,537
Individuals,"Moray West, Nairn and Strathspey",Male,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,511
Individuals,"Moray West, Nairn and Strathspey",Male,50 to 54,Degree level qualifications or above,1054
Individuals,"Moray West, Nairn and Strathspey",Male,55 to 59,All people aged 16 and over,3881
Individuals,"Moray West, Nairn and Strathspey",Male,55 to 59,No qualifications,531
Individuals,"Moray West, Nairn and Strathspey",Male,55 to 59,Lower school qualifications,745
Individuals,"Moray West, Nairn and Strathspey",Male,55 to 59,Upper school qualifications,325
Individuals,"Moray West, Nairn and Strathspey",Male,55 to 59,Apprenticeship qualifications,602
Individuals,"Moray West, Nairn and Strathspey",Male,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,512
Individuals,"Moray West, Nairn and Strathspey",Male,55 to 59,Degree level qualifications or above,1166
Individuals,"Moray West, Nairn and Strathspey",Male,60 to 64,All people aged 16 and over,3644
Individuals,"Moray West, Nairn and Strathspey",Male,60 to 64,No qualifications,594
Individuals,"Moray West, Nairn and Strathspey",Male,60 to 64,Lower school qualifications,537
Individuals,"Moray West, Nairn and Strathspey",Male,60 to 64,Upper school qualifications,263
Individuals,"Moray West, Nairn and Strathspey",Male,60 to 64,Apprenticeship qualifications,741
Individuals,"Moray West, Nairn and Strathspey",Male,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,426
Individuals,"Moray West, Nairn and Strathspey",Male,60 to 64,Degree level qualifications or above,1090
Individuals,"Moray West, Nairn and Strathspey",Male,65 to 69,All people aged 16 and over,3122
Individuals,"Moray West, Nairn and Strathspey",Male,65 to 69,No qualifications,615
Individuals,"Moray West, Nairn and Strathspey",Male,65 to 69,Lower school qualifications,356
Individuals,"Moray West, Nairn and Strathspey",Male,65 to 69,Upper school qualifications,243
Individuals,"Moray West, Nairn and Strathspey",Male,65 to 69,Apprenticeship qualifications,619
Individuals,"Moray West, Nairn and Strathspey",Male,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,322
Individuals,"Moray West, Nairn and Strathspey",Male,65 to 69,Degree level qualifications or above,967
Individuals,"Moray West, Nairn and Strathspey",Male,70 to 74,All people aged 16 and over,2905
Individuals,"Moray West, Nairn and Strathspey",Male,70 to 74,No qualifications,757
Individuals,"Moray West, Nairn and Strathspey",Male,70 to 74,Lower school qualifications,318
Individuals,"Moray West, Nairn and Strathspey",Male,70 to 74,Upper school qualifications,183
Individuals,"Moray West, Nairn and Strathspey",Male,70 to 74,Apprenticeship qualifications,576
Individuals,"Moray West, Nairn and Strathspey",Male,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,271
Individuals,"Moray West, Nairn and Strathspey",Male,70 to 74,Degree level qualifications or above,802
Individuals,"Moray West, Nairn and Strathspey",Male,75 to 79,All people aged 16 and over,2220
Individuals,"Moray West, Nairn and Strathspey",Male,75 to 79,No qualifications,749
Individuals,"Moray West, Nairn and Strathspey",Male,75 to 79,Lower school qualifications,211
Individuals,"Moray West, Nairn and Strathspey",Male,75 to 79,Upper school qualifications,89
Individuals,"Moray West, Nairn and Strathspey",Male,75 to 79,Apprenticeship qualifications,433
Individuals,"Moray West, Nairn and Strathspey",Male,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,137
Individuals,"Moray West, Nairn and Strathspey",Male,75 to 79,Degree level qualifications or above,604
Individuals,"Moray West, Nairn and Strathspey",Male,80 to 84,All people aged 16 and over,1317
Individuals,"Moray West, Nairn and Strathspey",Male,80 to 84,No qualifications,541
Individuals,"Moray West, Nairn and Strathspey",Male,80 to 84,Lower school qualifications,117
Individuals,"Moray West, Nairn and Strathspey",Male,80 to 84,Upper school qualifications,47
Individuals,"Moray West, Nairn and Strathspey",Male,80 to 84,Apprenticeship qualifications,252
Individuals,"Moray West, Nairn and Strathspey",Male,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,72
Individuals,"Moray West, Nairn and Strathspey",Male,80 to 84,Degree level qualifications or above,288
Individuals,"Moray West, Nairn and Strathspey",Male,85 and over,All people aged 16 and over,1044
Individuals,"Moray West, Nairn and Strathspey",Male,85 and over,No qualifications,416
Individuals,"Moray West, Nairn and Strathspey",Male,85 and over,Lower school qualifications,95
Individuals,"Moray West, Nairn and Strathspey",Male,85 and over,Upper school qualifications,25
Individuals,"Moray West, Nairn and Strathspey",Male,85 and over,Apprenticeship qualifications,221
Individuals,"Moray West, Nairn and Strathspey",Male,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,45
Individuals,"Moray West, Nairn and Strathspey",Male,85 and over,Degree level qualifications or above,242
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,Total,All people aged 16 and over,80367
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,Total,No qualifications,16390
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,Total,Lower school qualifications,16435
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,Total,Upper school qualifications,8672
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,Total,Apprenticeship qualifications,6878
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,12065
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,Total,Degree level qualifications or above,19927
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,16 to 19,All people aged 16 and over,4285
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,16 to 19,No qualifications,421
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,16 to 19,Lower school qualifications,1607
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,16 to 19,Upper school qualifications,1536
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,16 to 19,Apprenticeship qualifications,174
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,390
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,16 to 19,Degree level qualifications or above,156
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,20 to 24,All people aged 16 and over,5549
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,20 to 24,No qualifications,405
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,20 to 24,Lower school qualifications,1028
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,20 to 24,Upper school qualifications,1002
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,20 to 24,Apprenticeship qualifications,458
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1351
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,20 to 24,Degree level qualifications or above,1305
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,25 to 29,All people aged 16 and over,5797
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,25 to 29,No qualifications,396
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,25 to 29,Lower school qualifications,1068
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,25 to 29,Upper school qualifications,554
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,25 to 29,Apprenticeship qualifications,464
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1280
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,25 to 29,Degree level qualifications or above,2037
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,30 to 34,All people aged 16 and over,6141
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,30 to 34,No qualifications,453
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,30 to 34,Lower school qualifications,1317
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,30 to 34,Upper school qualifications,626
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,30 to 34,Apprenticeship qualifications,475
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1258
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,30 to 34,Degree level qualifications or above,2012
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,35 to 39,All people aged 16 and over,6286
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,35 to 39,No qualifications,459
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,35 to 39,Lower school qualifications,1348
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,35 to 39,Upper school qualifications,714
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,35 to 39,Apprenticeship qualifications,384
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1224
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,35 to 39,Degree level qualifications or above,2156
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,40 to 44,All people aged 16 and over,6376
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,40 to 44,No qualifications,537
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,40 to 44,Lower school qualifications,1430
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,40 to 44,Upper school qualifications,628
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,40 to 44,Apprenticeship qualifications,347
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1249
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,40 to 44,Degree level qualifications or above,2185
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,45 to 49,All people aged 16 and over,6295
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,45 to 49,No qualifications,700
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,45 to 49,Lower school qualifications,1496
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,45 to 49,Upper school qualifications,613
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,45 to 49,Apprenticeship qualifications,436
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1148
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,45 to 49,Degree level qualifications or above,1899
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,50 to 54,All people aged 16 and over,7405
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,50 to 54,No qualifications,1308
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,50 to 54,Lower school qualifications,1833
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,50 to 54,Upper school qualifications,803
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,50 to 54,Apprenticeship qualifications,527
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1115
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,50 to 54,Degree level qualifications or above,1824
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,55 to 59,All people aged 16 and over,7543
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,55 to 59,No qualifications,1775
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,55 to 59,Lower school qualifications,1626
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,55 to 59,Upper school qualifications,710
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,55 to 59,Apprenticeship qualifications,617
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1021
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,55 to 59,Degree level qualifications or above,1795
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,60 to 64,All people aged 16 and over,6553
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,60 to 64,No qualifications,1759
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,60 to 64,Lower school qualifications,1305
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,60 to 64,Upper school qualifications,524
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,60 to 64,Apprenticeship qualifications,735
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,765
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,60 to 64,Degree level qualifications or above,1465
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,65 to 69,All people aged 16 and over,5421
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,65 to 69,No qualifications,1854
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,65 to 69,Lower school qualifications,795
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,65 to 69,Upper school qualifications,430
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,65 to 69,Apprenticeship qualifications,674
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,537
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,65 to 69,Degree level qualifications or above,1131
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,70 to 74,All people aged 16 and over,4734
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,70 to 74,No qualifications,1935
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,70 to 74,Lower school qualifications,634
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,70 to 74,Upper school qualifications,254
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,70 to 74,Apprenticeship qualifications,648
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,330
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,70 to 74,Degree level qualifications or above,930
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,75 to 79,All people aged 16 and over,3496
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,75 to 79,No qualifications,1809
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,75 to 79,Lower school qualifications,417
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,75 to 79,Upper school qualifications,141
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,75 to 79,Apprenticeship qualifications,445
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,209
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,75 to 79,Degree level qualifications or above,475
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,80 to 84,All people aged 16 and over,2428
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,80 to 84,No qualifications,1332
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,80 to 84,Lower school qualifications,305
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,80 to 84,Upper school qualifications,75
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,80 to 84,Apprenticeship qualifications,283
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,115
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,80 to 84,Degree level qualifications or above,315
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,85 and over,All people aged 16 and over,2055
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,85 and over,No qualifications,1248
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,85 and over,Lower school qualifications,223
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,85 and over,Upper school qualifications,59
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,85 and over,Apprenticeship qualifications,210
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,72
Individuals,"Motherwell, Wishaw and Carluke",All people aged 16 and over,85 and over,Degree level qualifications or above,243
Individuals,"Motherwell, Wishaw and Carluke",Female,Total,All people aged 16 and over,41708
Individuals,"Motherwell, Wishaw and Carluke",Female,Total,No qualifications,9013
Individuals,"Motherwell, Wishaw and Carluke",Female,Total,Lower school qualifications,8762
Individuals,"Motherwell, Wishaw and Carluke",Female,Total,Upper school qualifications,4931
Individuals,"Motherwell, Wishaw and Carluke",Female,Total,Apprenticeship qualifications,1039
Individuals,"Motherwell, Wishaw and Carluke",Female,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,6318
Individuals,"Motherwell, Wishaw and Carluke",Female,Total,Degree level qualifications or above,11641
Individuals,"Motherwell, Wishaw and Carluke",Female,16 to 19,All people aged 16 and over,2130
Individuals,"Motherwell, Wishaw and Carluke",Female,16 to 19,No qualifications,188
Individuals,"Motherwell, Wishaw and Carluke",Female,16 to 19,Lower school qualifications,707
Individuals,"Motherwell, Wishaw and Carluke",Female,16 to 19,Upper school qualifications,847
Individuals,"Motherwell, Wishaw and Carluke",Female,16 to 19,Apprenticeship qualifications,62
Individuals,"Motherwell, Wishaw and Carluke",Female,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,235
Individuals,"Motherwell, Wishaw and Carluke",Female,16 to 19,Degree level qualifications or above,87
Individuals,"Motherwell, Wishaw and Carluke",Female,20 to 24,All people aged 16 and over,2746
Individuals,"Motherwell, Wishaw and Carluke",Female,20 to 24,No qualifications,161
Individuals,"Motherwell, Wishaw and Carluke",Female,20 to 24,Lower school qualifications,390
Individuals,"Motherwell, Wishaw and Carluke",Female,20 to 24,Upper school qualifications,519
Individuals,"Motherwell, Wishaw and Carluke",Female,20 to 24,Apprenticeship qualifications,155
Individuals,"Motherwell, Wishaw and Carluke",Female,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,766
Individuals,"Motherwell, Wishaw and Carluke",Female,20 to 24,Degree level qualifications or above,759
Individuals,"Motherwell, Wishaw and Carluke",Female,25 to 29,All people aged 16 and over,2980
Individuals,"Motherwell, Wishaw and Carluke",Female,25 to 29,No qualifications,155
Individuals,"Motherwell, Wishaw and Carluke",Female,25 to 29,Lower school qualifications,483
Individuals,"Motherwell, Wishaw and Carluke",Female,25 to 29,Upper school qualifications,268
Individuals,"Motherwell, Wishaw and Carluke",Female,25 to 29,Apprenticeship qualifications,161
Individuals,"Motherwell, Wishaw and Carluke",Female,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,679
Individuals,"Motherwell, Wishaw and Carluke",Female,25 to 29,Degree level qualifications or above,1237
Individuals,"Motherwell, Wishaw and Carluke",Female,30 to 34,All people aged 16 and over,3211
Individuals,"Motherwell, Wishaw and Carluke",Female,30 to 34,No qualifications,215
Individuals,"Motherwell, Wishaw and Carluke",Female,30 to 34,Lower school qualifications,665
Individuals,"Motherwell, Wishaw and Carluke",Female,30 to 34,Upper school qualifications,334
Individuals,"Motherwell, Wishaw and Carluke",Female,30 to 34,Apprenticeship qualifications,110
Individuals,"Motherwell, Wishaw and Carluke",Female,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,666
Individuals,"Motherwell, Wishaw and Carluke",Female,30 to 34,Degree level qualifications or above,1221
Individuals,"Motherwell, Wishaw and Carluke",Female,35 to 39,All people aged 16 and over,3323
Individuals,"Motherwell, Wishaw and Carluke",Female,35 to 39,No qualifications,208
Individuals,"Motherwell, Wishaw and Carluke",Female,35 to 39,Lower school qualifications,659
Individuals,"Motherwell, Wishaw and Carluke",Female,35 to 39,Upper school qualifications,378
Individuals,"Motherwell, Wishaw and Carluke",Female,35 to 39,Apprenticeship qualifications,77
Individuals,"Motherwell, Wishaw and Carluke",Female,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,662
Individuals,"Motherwell, Wishaw and Carluke",Female,35 to 39,Degree level qualifications or above,1342
Individuals,"Motherwell, Wishaw and Carluke",Female,40 to 44,All people aged 16 and over,3215
Individuals,"Motherwell, Wishaw and Carluke",Female,40 to 44,No qualifications,226
Individuals,"Motherwell, Wishaw and Carluke",Female,40 to 44,Lower school qualifications,644
Individuals,"Motherwell, Wishaw and Carluke",Female,40 to 44,Upper school qualifications,350
Individuals,"Motherwell, Wishaw and Carluke",Female,40 to 44,Apprenticeship qualifications,50
Individuals,"Motherwell, Wishaw and Carluke",Female,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,678
Individuals,"Motherwell, Wishaw and Carluke",Female,40 to 44,Degree level qualifications or above,1267
Individuals,"Motherwell, Wishaw and Carluke",Female,45 to 49,All people aged 16 and over,3208
Individuals,"Motherwell, Wishaw and Carluke",Female,45 to 49,No qualifications,332
Individuals,"Motherwell, Wishaw and Carluke",Female,45 to 49,Lower school qualifications,750
Individuals,"Motherwell, Wishaw and Carluke",Female,45 to 49,Upper school qualifications,351
Individuals,"Motherwell, Wishaw and Carluke",Female,45 to 49,Apprenticeship qualifications,75
Individuals,"Motherwell, Wishaw and Carluke",Female,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,608
Individuals,"Motherwell, Wishaw and Carluke",Female,45 to 49,Degree level qualifications or above,1092
Individuals,"Motherwell, Wishaw and Carluke",Female,50 to 54,All people aged 16 and over,3761
Individuals,"Motherwell, Wishaw and Carluke",Female,50 to 54,No qualifications,593
Individuals,"Motherwell, Wishaw and Carluke",Female,50 to 54,Lower school qualifications,956
Individuals,"Motherwell, Wishaw and Carluke",Female,50 to 54,Upper school qualifications,502
Individuals,"Motherwell, Wishaw and Carluke",Female,50 to 54,Apprenticeship qualifications,67
