SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,Paisley and Renfrewshire South,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),81
Households,Paisley and Renfrewshire South,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2543
Households,Paisley and Renfrewshire South,Household Reference Person is aged 35 to 49,Private rented: Total,1536
Households,Paisley and Renfrewshire South,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1472
Households,Paisley and Renfrewshire South,Household Reference Person is aged 35 to 49,Private rented: Other,63
Households,Paisley and Renfrewshire South,Household Reference Person is aged 35 to 49,Lives Rent Free,76
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14535
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Owned: Total,9840
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Owned: Owned outright,4999
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4793
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),26
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),22
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3535
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Private rented: Total,1068
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1031
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Private rented: Other,36
Households,Paisley and Renfrewshire South,Household Reference Person is aged 50 to 64,Lives Rent Free,92
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,12928
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Owned: Total,9263
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Owned: Owned outright,8329
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,871
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),15
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),50
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2997
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Private rented: Total,473
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,434
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Private rented: Other,39
Households,Paisley and Renfrewshire South,Household Reference Person is aged 65 and over,Lives Rent Free,194
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,47153
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Owned: Total,31590
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Owned: Owned outright,18032
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,12718
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),260
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),580
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8139
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Private rented: Total,6602
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,6376
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Private rented: Other,226
Households,Perth and Kinross-shire,All Household Reference Persons aged 16 and over,Lives Rent Free,822
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6746
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Owned: Total,2766
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Owned: Owned outright,357
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2128
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),26
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),255
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1602
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Private rented: Total,2244
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,2186
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Private rented: Other,58
Households,Perth and Kinross-shire,Household Reference Person ages 16 to 34,Lives Rent Free,130
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,10455
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Owned: Total,6490
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Owned: Owned outright,1043
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,5157
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),54
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),237
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1979
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Private rented: Total,1809
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1747
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Private rented: Other,62
Households,Perth and Kinross-shire,Household Reference Person is aged 35 to 49,Lives Rent Free,177
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14214
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Owned: Total,10263
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Owned: Owned outright,5495
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4620
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),108
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),44
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2217
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Private rented: Total,1562
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1506
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Private rented: Other,54
Households,Perth and Kinross-shire,Household Reference Person is aged 50 to 64,Lives Rent Free,177
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,15732
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Owned: Total,12068
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Owned: Owned outright,11134
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,813
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),76
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),44
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2341
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Private rented: Total,990
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,937
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Private rented: Other,52
Households,Perth and Kinross-shire,Household Reference Person is aged 65 and over,Lives Rent Free,333
Households,Rutherglen,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,42600
Households,Rutherglen,All Household Reference Persons aged 16 and over,Owned: Total,29117
Households,Rutherglen,All Household Reference Persons aged 16 and over,Owned: Owned outright,13875
Households,Rutherglen,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,14943
Households,Rutherglen,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),55
Households,Rutherglen,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),244
Households,Rutherglen,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9279
Households,Rutherglen,All Household Reference Persons aged 16 and over,Private rented: Total,3775
Households,Rutherglen,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,3614
Households,Rutherglen,All Household Reference Persons aged 16 and over,Private rented: Other,161
Households,Rutherglen,All Household Reference Persons aged 16 and over,Lives Rent Free,432
Households,Rutherglen,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6122
Households,Rutherglen,Household Reference Person ages 16 to 34,Owned: Total,3270
Households,Rutherglen,Household Reference Person ages 16 to 34,Owned: Owned outright,336
Households,Rutherglen,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2835
Households,Rutherglen,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),11
Households,Rutherglen,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),88
Households,Rutherglen,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1479
Households,Rutherglen,Household Reference Person ages 16 to 34,Private rented: Total,1313
Households,Rutherglen,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1278
Households,Rutherglen,Household Reference Person ages 16 to 34,Private rented: Other,35
Households,Rutherglen,Household Reference Person ages 16 to 34,Lives Rent Free,60
Households,Rutherglen,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,11105
Households,Rutherglen,Household Reference Person is aged 35 to 49,Owned: Total,7512
Households,Rutherglen,Household Reference Person is aged 35 to 49,Owned: Owned outright,861
Households,Rutherglen,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,6549
Households,Rutherglen,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),15
Households,Rutherglen,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),97
Households,Rutherglen,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2232
Households,Rutherglen,Household Reference Person is aged 35 to 49,Private rented: Total,1287
Households,Rutherglen,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1239
Households,Rutherglen,Household Reference Person is aged 35 to 49,Private rented: Other,44
Households,Rutherglen,Household Reference Person is aged 35 to 49,Lives Rent Free,71
Households,Rutherglen,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,12928
Households,Rutherglen,Household Reference Person is aged 50 to 64,Owned: Total,9191
Households,Rutherglen,Household Reference Person is aged 50 to 64,Owned: Owned outright,4389
Households,Rutherglen,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4776
Households,Rutherglen,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),16
Households,Rutherglen,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),11
Households,Rutherglen,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2891
Households,Rutherglen,Household Reference Person is aged 50 to 64,Private rented: Total,750
Households,Rutherglen,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,722
Households,Rutherglen,Household Reference Person is aged 50 to 64,Private rented: Other,24
Households,Rutherglen,Household Reference Person is aged 50 to 64,Lives Rent Free,96
Households,Rutherglen,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,12445
Households,Rutherglen,Household Reference Person is aged 65 and over,Owned: Total,9141
Households,Rutherglen,Household Reference Person is aged 65 and over,Owned: Owned outright,8289
Households,Rutherglen,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,785
Households,Rutherglen,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),17
Households,Rutherglen,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),50
Households,Rutherglen,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2674
Households,Rutherglen,Household Reference Person is aged 65 and over,Private rented: Total,425
Households,Rutherglen,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,371
Households,Rutherglen,Household Reference Person is aged 65 and over,Private rented: Other,54
Households,Rutherglen,Household Reference Person is aged 65 and over,Lives Rent Free,209
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,44517
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Owned: Total,30005
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Owned: Owned outright,16825
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,12855
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),78
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),247
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8198
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Private rented: Total,5593
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,5389
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Private rented: Other,203
Households,Stirling and Strathallan,All Household Reference Persons aged 16 and over,Lives Rent Free,721
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6773
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Owned: Total,2571
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Owned: Owned outright,490
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1985
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),23
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),73
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1475
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Private rented: Total,2599
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,2547
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Private rented: Other,51
Households,Stirling and Strathallan,Household Reference Person ages 16 to 34,Lives Rent Free,128
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,9844
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Owned: Total,6301
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Owned: Owned outright,1022
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,5177
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),12
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),87
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2065
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Private rented: Total,1367
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1328
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Private rented: Other,41
Households,Stirling and Strathallan,Household Reference Person is aged 35 to 49,Lives Rent Free,108
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13881
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Owned: Total,10162
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Owned: Owned outright,5273
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4841
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),17
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),32
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2511
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Private rented: Total,1046
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,986
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Private rented: Other,56
Households,Stirling and Strathallan,Household Reference Person is aged 50 to 64,Lives Rent Free,170
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,14019
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Owned: Total,10971
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Owned: Owned outright,10043
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,847
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),26
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),55
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2147
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Private rented: Total,583
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,528
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Private rented: Other,55
Households,Stirling and Strathallan,Household Reference Person is aged 65 and over,Lives Rent Free,318
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,43878
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Owned: Total,25085
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Owned: Owned outright,13089
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,11752
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),109
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),132
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,14774
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Private rented: Total,3556
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,3401
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Private rented: Other,157
Households,West Dunbartonshire,All Household Reference Persons aged 16 and over,Lives Rent Free,459
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6828
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Owned: Total,2635
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Owned: Owned outright,310
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2290
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),10
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),24
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2862
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Private rented: Total,1253
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1212
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Private rented: Other,41
Households,West Dunbartonshire,Household Reference Person ages 16 to 34,Lives Rent Free,76
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,10237
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Owned: Total,5346
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Owned: Owned outright,760
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4497
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),26
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),63
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3765
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Private rented: Total,1066
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1036
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Private rented: Other,30
Households,West Dunbartonshire,Household Reference Person is aged 35 to 49,Lives Rent Free,60
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14064
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Owned: Total,8698
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Owned: Owned outright,4463
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4179
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),41
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),19
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4470
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Private rented: Total,787
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,756
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Private rented: Other,31
Households,West Dunbartonshire,Household Reference Person is aged 50 to 64,Lives Rent Free,105
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,12749
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Owned: Total,8403
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Owned: Owned outright,7555
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,787
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),38
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),25
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3678
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Private rented: Total,450
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,397
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Private rented: Other,53
Households,West Dunbartonshire,Household Reference Person is aged 65 and over,Lives Rent Free,218
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,42378
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Owned: Total,27419
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Owned: Owned outright,16640
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,10625
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),51
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),106
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9812
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Private rented: Total,4460
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,4332
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Private rented: Other,128
Households,"Ayr, Carrick and Cumnock",All Household Reference Persons aged 16 and over,Lives Rent Free,684
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,5378
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Owned: Total,2006
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Owned: Owned outright,306
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1670
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),9
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),21
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1858
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Private rented: Total,1409
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1382
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Private rented: Other,27
Households,"Ayr, Carrick and Cumnock",Household Reference Person ages 16 to 34,Lives Rent Free,105
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,8736
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Owned: Total,4946
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Owned: Owned outright,911
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4003
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),7
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),24
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2347
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Private rented: Total,1337
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1297
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Private rented: Other,40
Households,"Ayr, Carrick and Cumnock",Household Reference Person is aged 35 to 49,Lives Rent Free,109
